Estado,IDEB – Anos iniciais do ensino fundamental (Rede pública) [2023],IDEB – Anos finais do ensino fundamental (Rede pública) [2023],Matrículas no ensino fundamental [2023],Matrículas no ensino médio [2023],Docentes no ensino fundamental [2023],Docentes no ensino médio [2023],Número de estabelecimentos de ensino fundamental [2023],Número de estabelecimentos de ensino médio [2023]
Acre,"5,7","4,7",147.350,40.216,6.880,2.481,1.292,285
Alagoas,"5,7","4,8",439.014,120.878,21.340,7.619,2.105,404
Amapá,"4,8","4,1",131.948,32.435,7.357,2.573,716,160
Amazonas,"5,6","4,7",692.623,189.771,34.054,10.841,4.738,501
Bahia,"4,9","3,9",1.865.574,517.073,102.040,30.622,12.355,1.551
Ceará,"6,5","5,4",1.134.636,358.735,59.808,20.716,5.211,981
Distrito Federal,"5,9","4,6",361.438,111.437,18.152,5.988,861,264
Espírito Santo,"6,1","5,0",498.357,126.068,29.133,10.570,1.997,435
Goiás,"6,1","5,4",868.222,224.130,40.943,15.617,3.341,1.055
Maranhão,"5,1","4,3",1.045.700,283.486,66.292,18.397,8.906,1.082
Mato Grosso,"5,8","4,8",507.089,137.021,26.039,11.685,1.970,687
Mato Grosso do Sul,"5,3","4,6",393.616,103.814,22.529,9.459,1.171,447
Minas Gerais,"6,1","4,7",2.343.279,716.517,145.365,69.294,10.214,3.316
Paraná,"6,5","5,4",1.365.869,403.394,87.905,36.168,6.144,2.081
Paraíba,"5,3","4,2",523.996,140.067,28.963,11.611,3.614,683
Pará,"4,8","4,2",1.331.723,324.258,60.224,13.789,9.006,1.007
Pernambuco,"5,3","4,7",1.229.419,338.436,55.288,19.699,6.311,1.133
Piauí,"5,7","4,9",439.111,128.628,27.167,11.331,2.862,652
Rio Grande do Norte,"4,8","3,7",437.133,127.507,21.725,7.813,2.482,477
Rio Grande do Sul,"5,8","4,7",1.255.794,349.367,75.025,29.013,5.643,1.560
Rio de Janeiro,"5,5","4,5",1.945.098,554.816,102.133,43.361,7.571,2.318
Rondônia,"5,5","4,7",227.246,71.396,10.256,3.998,923,257
Roraima,"5,4","4,2",111.096,27.821,5.728,2.431,666,178
Santa Catarina,"6,2","4,9",941.272,267.040,51.565,21.859,3.129,1.041
Sergipe,"4,9","4,0",305.930,83.603,15.887,5.488,1.612,317
São Paulo,"6,2","5,1",5.343.271,1.832.726,288.035,112.578,15.293,6.514
Tocantins,"5,4","4,8",222.404,66.103,12.691,5.932,1.217,368
